A01: STOMATOLOGIKA; Préparations stomatologiques
A06AA51: Dickflüssiges Paraffin, Kombinationen; Huile de paraffine en association
A06AB02: Bisacodyl; Bisacodyl
A06AB06: Sennoside; Glycosides de séné
A06AB08: Natriumpicosulfat; Sodium picosulfate
A06AB20: Kontaktlaxanzien in Kombination; Laxatifs stimulants en association
A06AB56: Sennoside, Kombinationen; Glycosides de séné en association
A06AC01: Ispaghula (Flohsamen); Ispaghul
A06AC03: Sterculia; Sterculia
A06AC53: Sterculia, Kombinationen; Sterculia en association
A06AC55: Leinsamen, Kombinationen; Lin graine en association
A06AD10: Mineralsalze in Kombination; Sels minéraux laxatifs en association
A06AD11: Lactulose; Lactulose
A06AD12: Lactitol; Lactitol
A06AD16: Mannitol; Mannitol
A06AD17: Natriumphosphat; Sodium phosphate
A06AD61: Lactulose, Kombinationen; Lactulose en association
A06AD65: Macrogol, Kombinationen; Macrogol en association
A06AG01: Natriumphosphat; Sodium phosphate
A06AG10: Docusat-Natrium, inkl. Kombinationen; Docusate sodique, associations incluses
A06AG11: Laurylsulfat, inkl. Kombinationen; Laurylsulfate, associations incluses
A06AH01: Methylnaltrexon bromid; Méthylnaltrexone
A06AX01: Glycerol; Glycérol
A06AX02: Kohlendioxid freisetzende Mittel; Médicaments produisant de l’anhydride carbonique
A06AX03: Lubiproston; 
A07: ANTIDIARRHOIKA UND INTESTINALE ANTIPHLOGISTIKA/ANTIINFEKTIVA; Antidiarrhéiques, antiinflammatoires et anti-infectieux intestinaux
A07AA02: Nystatin; Nystatine
A07AA06: Paromomycin; Paromomycine
A07BA01: Medizinische Kohle; Charbon médicinal
A07BA51: Medizinische Kohle, Kombinationen; Charbon médicinal en association
A07CA: Elektrolyte zur oralen Rehydrierung; Préparations salines pour réhydratation orale
A07DA03: Loperamid; Lopéramide
A07DA53: Loperamid, Kombinationen; Lopéramide en association
A07EA06: Budesonid; Budésonide
A07EC01: Sulfasalazin; Sulfasalazine
A07EC02: Mesalazin; Mésalazine
A07FA01: Milchsäurebildner; Micro-organismes produisant de l’acide lactique
A08: ANTIADIPOSITA, EXKL. DIÄTETIKA; Préparations contre l’obésité, produits de régime exclus
A08AB01: Orlistat; Orlistat
A09: DIGESTIVA, INKL. ENZYME; Médicaments de la digestion, enzymes incluses
A09AA02: Multienzyme (Lipase, Protease etc.); Multienzymes (lipase, protéase...)
A09AA04: Tilactase; Tilactase
A10: ANTIDIABETIKA; Médicaments du diabète
A10AB01: Insulin (human); Insuline humaine rapide
A10AB03: Insulin (Schwein); Insuline porcine d’action rapide
A10AB04: Insulin lispro; Insuline lispro rapide
A10AB05: Insulin aspart; Insuline aspart rapide
A10AB06: Insulin glulisin; Insuline glulisine
A10AC01: Insulin (human); Insuline humaine intermédiaire
A10AD05: Insulin aspart; Insuline aspart intermédiaire à début rapide
A10AE04: Insulin glargin; Insuline glargine
A10AE05: Insulin detemir; Insuline détémir
A10BA02: Metformin; Metformine
A10BB01: Glibenclamid; Glibenclamide
A10BB04: Glibornurid; Glibornuride
A10BB09: Gliclazid; Glicazide
A10BB12: Glimepirid; Glimépiride
A10BD: Kombinationen mit oralen Antidiabetika; Biguanides et sulfamides en association
A10BD02: Metformin und Sulfonamide; Metformine et sulfamides
A10BD07: Metformin und Sitagliptin; Metformine et sitagliptine
A10BD08: Metformin und Vildagliptin; Metformine et vildagliptine
A10BD10: Metformin und Saxagliptin; Metformine et saxagliptine
A10BD11: Metformin und Linagliptin; Metformine et linagliptine
A10BF01: Acarbose; Acarbose
A10BG03: Pioglitazon; Pioglitazone
A10BH01: Sitagliptin; Sitagliptine
A10BH02: Vildagliptin; Vildagliptine
A10BH03: Saxagliptin; Saxagliptine
A10BH05: Linagliptin; Linagliptine
A10BX02: Repaglinid; Répaglinide
A10BX03: Nateglinid; Natéglinide
A10BX04: Exenatid; Exénatide
A11: VITAMINE; Vitamines
A11AA: Multivitamine mit Mineralstoffen; Polyvitamines avec éléments minéraux
A11AA03: Multivitamine und andere Mineralstoffe, inkl. Kombinationen; Polyvitamines et autres éléments minéraux, associations incluses
A11AB: Multivitamine, andere Kombinationen; Polyvitamines, autres associations
A11BA: Multivitamine, rein; Polyvitamines non associées
A11CA01: Retinol (Vitamin A); Rétinol
A11CA02: Betacaroten; Bétacarotène
A11CC02: Dihydrotachysterol; Dihydrotachystérol
A11CC04: Calcitriol; Calcitriol
A11CC05: Colecalciferol; Cholécalciférol
A11DA01: Thiamin (Vitamin B1); Thiamine (vit B1)
A11DB: Vitamin B1 in Kombination mit Vitamin B6 und/oder Vitamin B12; Vitamine B1 en association à la vitamine B6 et,ou à la vitamine B12
A11EA: Vitamin-B-Komplex, rein; Complexe vitaminique B non associé
A11EB: Vitamin-B-Komplex mit Vitamin C; Complexe vitaminique B avec vitamine C
A11EX: Vitamin-B-Komplex, andere Kombinationen; Complexe vitaminique B, autres associations
A11GA01: Ascorbinsäure (Vitamin C); Ascorbique acide (vit C)
A11GB: Ascorbinsäure (Vitamin C), Kombinationen; Acide ascorbique (vit C), associations
A11GB01: Ascorbinsäure (Vitamin C) und Calcium; Ascorbique acide (vit C) et calcium
A11HA02: Pyridoxin (Vitamin B6); Pyridoxine
A11HA03: Tocopherol (Vitamin E); Tocophérol
A11HA04: Riboflavin (Vitamin B2); Riboflavine (vit B2)
A11HA05: Biotin; Biotine
A11HA30: Dexpanthenol; Dexpanthénol
A12: MINERALSTOFFE; Suppléments minéraux
A12AA02: Calciumglubionat; Calcium glubionate
A12AA04: Calciumcarbonat; Calcium carbonate
A12AA06: Calciumlactogluconat; Calcium gluconolactate
A12AA12: Calciumacetat, wasserfrei; Calcium acétate anhydré
A12AX: Calcium, Kombinationen mit Vitamin D und/oder anderen Mitteln; Calcium en association avec d’autres substances
A12AX01: Calciumcarbonat und Colecalciferol; 
A12BA01: Kaliumchlorid; Potassium chlorure
A12CB01: Zinksulfat; Zinc sulfate
A12CB02: Zinkgluconat; Zinc gluconate
A12CB03: Zinkprotein-Komplex; Zinc protéïne complexe
A12CC04: Magnesiumcitrat; Magnésium citrate
A12CC05: Magnesiumaspartat; Magnésium aspartate
A12CC08: Magnesiumpidolat; Magnésium pidolate
A12CC09: Magnesiumorotat; Magnésium orotate
A12CC10: Magnesiumoxid; Magnésium oxyde
A12CC30: Magnesium (verschiedene Salze in Kombination); Magnésium (différents sels en association)
A12CE02: Natriumselenit; Sodium sélénite
A12CX: Andere Mineralstoff-haltige Zubereitungen; Autres éléments minéraux
A13: TONIKA; Toniques
A13A: TONIKA; Toniques
A14: ANABOLIKA ZUR SYSTEMISCHEN ANWENDUNG; Anabolisants à usage systémique
A14AB01: Nandrolon; Nandrolone
A16: ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL; Autres médicaments des voies digestives et du métabolisme
A16AA01: Levocarnitin; L-carnitine
A16AB02: Imiglucerase; Imiglucérase
A16AB03: Agalsidase alfa; Agalsidase
A16AB04: Agalsidase beta; Agalsidase bêta
A16AB05: Laronidase; Laronidase
A16AB07: Alglucosidase alfa; Alglucosidase alfa
A16AB08: Galsulfase; Galsulfase
A16AB09: Idursulfase; Idursulfase
A16AB10: Velaglucerase alfa; Vélaglucérase alfa
A16AX: Sonstige Mittel für das alimentäre System und den Stoffwechsel; Divers médicaments des voies digestives et du métabolisme
A16AX02: Anetholtrithion; Anétholtrithione
A16AX06: Miglustat; Miglustat
A16AX07: Sapropterin; Saproptérine
B: BLUT UND BLUTBILDENDE ORGANE; Sang et organes hématopoïétiques
B01: ANTITHROMBOTISCHE MITTEL; Antithrombotiques
B01A: ANTITHROMBOTISCHE MITTEL; Antithrombotiques
B01AA04: Phenprocoumon; Phenprocoumone
B01AA07: Acenocoumarol; Acénocoumarol
B01AB01: Heparin; Héparine
B01AB02: Antithrombin III, Antithrombin alfa ; Antithrombine III
B01AB04: Dalteparin; Daltéparine
B01AB06: Nadroparin; Nadroparine
B01AB09: Danaparoid; Danaparoïde
B01AC04: Clopidogrel; Clopidogrel
B01AC06: Acetylsalicylsäure; Aspirine
B01AC09: Epoprostenol; Epoprosténol
B01AC11: Iloprost; Iloprost
B01AC13: Abciximab; Abciximab
B01AC16: Eptifibatid; Eptifibatide
B01AC17: Tirofiban; Tirofiban
B01AC21: Treprostinil; Tréprostinil
B01AC22: Prasugrel; Prasugrel
B01AC24: Ticagrelor; Ticagrélor
B01AC30: Kombinationen; Associations d’inhibiteurs de l’agrégation plaquettaire
B01AC56: Acetylsalicylsäure und Esomeprazol; 
B01AD02: Alteplase; Alteplase
B01AD04: Urokinase; Urokinase
B01AD07: Reteplase; Retéplase
B01AD11: Tenecteplase; Ténectéplase
B01AE06: Bivalirudin; Bivalirudine
B01AE07: Dabigatran etexilat; Dabigatran
B01AX05: Fondaparinux; Fondaparinux
B02: ANTIHÄMORRHAGIKA; Antihémorragiques
B02AA02: Tranexamsäure; Acide tranexamique
B02AB01: Aprotinin; Aprotinine
B02AB02: Alfa1-Antitrypsin; Alpha-1 antitrypsine
B02BA01: Phytomenadion; Phytoménadione
B02BB01: Fibrinogen, human; Fibrinogène humain
B02BC: Lokale Hämostatika; Hémostatiques locaux
B02BC10: Fibrinogen, human; Fibrinogène humain
B02BC30: Kombinationen; Associations d’hémostatiques locaux
B02BD01: Gerinnungsfaktoren IX, II, VII und X in Kombination; Facteurs IX, II, VII et X
B02BD02: Gerinnungsfaktor VIII; Facteur VIII
B02BD03: Faktor-VIII-Inhibitor-bypass-Aktivität; Complexe prothrombique activé
B02BD04: Gerinnungsfaktor IX; Facteur IX
B02BD05: Gerinnungsfaktor VII; Facteur VII
B02BD06: Von Willebrand-Faktor und Gerinnungsfaktor VIII in Kombination; Facteur Von Willebrand et facteur VIII de coagulation en association
B02BD07: Gerinnungsfaktor XIII; Facteur XIII
B02BD08: Eptacog alfa (aktiviert); Eptacog alfa (active)
B02BD09: Nonacog alfa; Nonacog alfa
B02BD10: Von Willebrand-Faktor; Facteur Von Willebrand
B02BD11: Catridecacog; 
B02BX04: Romiplostim; Romiplostim
B02BX05: Eltrombopag; Eltrombopag
B03: ANTIANÄMIKA; Préparations antianémiques
B03AA01: Eisen(II)glycinsulfat; Sulfate ferreux - glycine
B03AA02: Eisen(II)fumarat; Fumarate ferreux
B03AA07: Eisen(II)sulfat; Sulfate ferreux
B03AB05: Eisen(III)hydroxid-Polymaltose-Komplex; Dextriferron
B03AC: Eisen dreiwertig, parenterale Zubereitungen; Fer trivalent, préparations parentérales
B03AC01: Eisen(III)hydroxid-Polymaltose-Komplex; Dextriferron
B03AC02: Eisen(III)oxid-Saccharose-Komplex; Oxyde de fer sucré
B03AD03: Eisen(II)sulfat; Sulfate ferreux
B03AD04: Eisen(III)hydroxid-Polymaltose-Komplex; Destriferron
B03AE02: Eisen, Multivitamine und Folsäure; Fer, polyvitamines et acide folique
B03AE10: Verschiedene Kombinationen; Associations diverses à base de fer
B03BA01: Cyanocobalamin; Cyanocobalamine
B03BA02: Cyanocobalamin-Tannin-Komplex; Complexe cyanocobalamine - tanin
B03BA03: Hydroxocobalamin; Hydroxocobalamine
B03BA53: Hydroxocobalamin, Kombinationen; Hydroxocobalamine en association
B03BB01: Folsäure; Acide folique
B03XA01: Erythropoietin; Erythropoïétine
B03XA02: Darbepoetin alfa; Darbepoétine alfa
B03XA03: Methoxy-Polyethylenglycol-Epoetin beta; Méthoxy polyéthylène glycol-époétine bêta
B05: BLUTERSATZMITTEL UND PERFUSIONSLÖSUNGEN; Substituts du sang et solutions de perfusion
B05AA: Blutersatzmittel und Plasmaproteinfraktionen; Substituts du sang et fractions protéiques plasmatiques
B05AA01: Albumin; Albumine
B05AA06: Gelatine-haltige Mittel; Gélatines
B05AA07: Hydroxyethylstärke; Hydroxyéthylamidon
B05BA: Lösungen zur parenteralen Ernährung; Solutions pour nutrition parentérale
B05BA01: Aminosäuren; Acides aminés
B05BA02: Fett-Emulsionen; Émulsions lipidiques
B05BA03: Kohlenhydrate; Hydrates de carbone
B05BA10: Kombinationen; Associations pour nutrition parentérale
B05BB01: Elektrolyte; Électrolytes
B05BB02: Elektrolyte mit Kohlenhydraten; Electrolytes avec hydrates de carbone
B05BC01: Mannitol; Mannitol
B05CA05: Taurolidin; Taurolidine
B05CA08: Ethacridinlactat; Ethacridine lactate
B05DA: Isotone Lösungen; Solutions isotoniques pour dialyse péritonéale
B05DB: Hypertone Lösungen; Solutions hypertoniques pour dialyse péritonéale
B05XA01: Kaliumchlorid; Potassium chlorure
B05XA02: Natriumbicarbonat; Sodium bicarbonate
B05XA03: Natriumchlorid; NaCl
B05XA05: Magnesiumsulfat; Magnésium sulfate
B05XA06: Kaliumphosphat, inkl. Kombinationen mit anderen Kaliumsalzen; Potassium phosphate, associations avec d’autres sels de potassium
B05XA11: Magnesiumchlorid; Magnésium chlorure
B05XA14: Dinatrium-1-glycerinphosphat; Sodium glycérophosphate
B05XA31: Elektrolyte in Kombination mit anderen Mitteln; Electrolytes en association avec d’autres substances
B05XB02: Alanylglutamin; Alanyl glutamine
B05XC: Vitamine; Vitamines pour solutions intraveineuses
B05XX: Andere Additiva zu i.v.-Lösungen; Autres additifs pour solutions intraveineuses
B05ZB: Hämofiltrate; Solutions pour hémofiltration
B06: ANDERE HÄMATOLOGIKA; Autres médicaments utilises en hématologie
B06AA11: Bromelaine; Bromelaïne
B06AB: Andere Hämprodukte; Autres médicaments dérivés de l’hème
B06AC01: C1-Inhibitor, aus Plasma gewonnen; Inhibiteurs C1, dérivés du plasma
C: KARDIOVASKULÄRES SYSTEM; Système cardio-vasculaire
C01: HERZTHERAPIE; Médicaments en cardiologie
C01AA05: Digoxin; Digoxine
C01BB01: Lidocain; Lidocaïne
C01BC03: Propafenon; Propafénone
C01BD01: Amiodaron; Amiodarone
C01BD05: Ibutilid; Ibutilide
C01BD07: Dronedaron; Dronédarone
C01BG11: Vernakalant; Vernakalant
C01CA01: Etilefrin; Étiléfrine
C01CA03: Norepinephrin; Norépinéphrine
C01CA04: Dopamin; Dopamine
C01CA06: Phenylephrin; Phényléphrine
C01CA07: Dobutamin; Dobutamine
C01CA17: Midodrin; Midodrine
C01CA24: Epinephrin; Épinéphrine
C01CE02: Milrinon; Milrinone
C01DA02: Glyceroltrinitrat; Trinitrine
C01DA08: Isosorbiddinitrat; Isosorbide dinitrate
C01DA14: Isosorbidmononitrat; Isosorbide mononitrate
C01DX12: Molsidomin; Molsidomine
C01DX16: Nicorandil; Nicorandil
C01EA01: Alprostadil; Alprostadil
C01EB10: Adenosin; Adénosine
C01EB18: Ranolazin; Ranolazine
C01EX: Andere Herzmittel, Kombinationen; Autres médicaments en association en cardiologie
C02: ANTIHYPERTONIKA; Antihypertenseurs
C02AB01: Methyldopa (linksdrehend); Méthyldopa (lévogyre)
C02AC01: Clonidin; Clonidine
C02AC05: Moxonidin; Moxonidine
C02CA04: Doxazosin; Doxazosine
C02CA06: Urapidil; Urapidil
C02DC01: Minoxidil; Minoxidil
C02KX01: Bosentan; Bosentan
C02KX02: Ambrisentan; Ambrisentan
C02LA51: Reserpin und Diuretika, Kombinationen mit anderen Mitteln; Réserpine et diurétiques en association avec d’autres substances
C03: DIURETIKA; Diurétiques
C03AA03: Hydrochlorothiazid; Hydrochlorothiazide
C03BA04: Chlortalidon; Chlortalidone
C03BA08: Metolazon; Métolazone
C03BA11: Indapamid; Indapamide
C03CA01: Furosemid; Furosémide
C03CA04: Torasemid; Torasémide
C03DA01: Spironolacton; Spironolactone
C03DA02: Kaliumcanrenoat; Canrénoate de potassium
C03DA04: Eplerenon; Éplérénone
C03EA01: Hydrochlorothiazid und Kalium sparende Mittel; Hydrochlorothiazide et épargneurs potassiques
C03EB01: Furosemid und Kalium sparende Mittel; Furosémide et épargneurs potassiques
C04: PERIPHERE VASODILATATOREN; Vasodilatateurs périphériques
C04AB01: Phentolamin; Phentolamine
C04AD03: Pentoxifyllin; Pentoxifylline
C04AE01: Ergoloidmesylat; Ergoloïde mésylates
C04AX: Andere periphere Vasodilatatoren; Autres vasodilatateurs périphériques
C04AX21: Naftidrofuryl; Naftidrofuryl
C05: VASOPROTEKTOREN; Vasculoprotecteurs
C05AA04: Prednisolon; Prednisolone
C05AA10: Fluocinolonacetonid; Fluocinolone acétonide
C05AD01: Lidocain; Lidocaïne
C05AE01: Glyceroltrinitrat; Trinitrate de glycéryle
C05AX03: Andere Hämorrhoidenmittel, Kombinationen; Autres préparations antihémorroïdaires en association
C05B: ANTIVARIKOSA; Thérapeutique antivariqueuse
C05BA01: Heparinoide; Héparinoïde
C05BA03: Heparin; Héparine
C05BA53: Heparin, Kombinationen; Héparine en association
C05BB02: Polidocanol (Lauromacrogol 400); Polidocanol
C05CA01: Rutoside; Rutoside
C05CA03: Diosmin; Diosmine
C05CA04: Troxerutin; Troxérutine
C05CA51: Rutosid, Kombinationen; Rutoside en association
C05CA53: Diosmin, Kombinationen; Diosmine en association
C05CA54: Troxerutin, Kombinationen; Troxérutine en association
C05CX: Andere kapillarstabilisierende Mittel; Autres médicaments agissant sur les capillaires
C07: BETA-ADRENOZEPTOR-ANTAGONISTEN; Bêtabloquants
C07AA03: Pindolol; Pindolol
C07AA05: Propranolol; Propranolol
C07AA07: Sotalol; Sotalol
C07AB02: Metoprolol; Métoprolol
C07AB03: Atenolol; Aténolol
C07AB07: Bisoprolol; Bisoprolol
C07AB08: Celiprolol; Céliprolol
C07AB09: Esmolol; Esmolol
C07AB12: Nebivolol; Nébivolol
C07AG01: Labetalol; Labétalol
C07AG02: Carvedilol; Carvédilol
C07BB07: Bisoprolol und Thiazide; Bisoprolol et thiazidiques
C07CA02: Oxprenolol und andere Diuretika; Oxprénolol et autres diurétiques
C07CA03: Pindolol und andere Diuretika; Pindolol et autres diurétiques
C07CB02: Metoprolol und andere Diuretika; Métoprolol et autres diurétiques
C07CB03: Atenolol und andere Diuretika; Aténolol et autres diurétiques
C07FB02: Metoprolol und andere Antihypertonika; Métoprolol et autres antihypertenseurs
C07FB03: Atenolol und andere Antihypertonika; Aténolol et autres antihypertenseurs
C08: CALCIUMKANALBLOCKER; Inhibiteurs calciques
C08CA01: Amlodipin; Amlodipine
C08CA02: Felodipin; Félodipine
C08CA03: Isradipin; Isradipine
C08CA05: Nifedipin; Nifédipine
C08CA06: Nimodipin; Nimodipine
C08CA08: Nitrendipin; Nitrendipine
C08CA09: Lacidipin; Lacidipine
C08CA13: Lercanidipin; Lercanidipine
C08CA16: Clevidipin; Clévidipine
C08DA01: Verapamil; Vérapamil
C08DA51: Verapamil, Kombinationen; Vérapamil en association
C08DB01: Diltiazem; Diltiazem
C09: MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM; Médicaments agissant sur le système rénine-angiotensine
C09AA01: Captopril; Captopril
C09AA02: Enalapril; Énalapril
C09AA03: Lisinopril; Lisinopril
C09AA04: Perindopril; Périndopril
C09AA05: Ramipril; Ramipril
C09AA06: Quinapril; Quinapril
C09AA07: Benazepril; Bénazépril
C09AA08: Cilazapril; Cilazapril
C09AA10: Trandolapril; Trandolapril
C09BA: ACE-Hemmer und Diuretika; Inhibiteurs de l’enzyme de conversion (IEC) et diurétiques
C09BA01: Captopril und Diuretika; Captopril et diurétiques
C09BA02: Enalapril und Diuretika; Enalapril et diurétiques
C09BA03: Lisinopril und Diuretika; Lisinopril et diurétiques
C09BA04: Perindopril und Diuretika; Périndopril et diurétiques
C09BA05: Ramipril und Diuretika; Ramipril et diurétiques
C09BA06: Quinapril und Diuretika; Quinapril et diurétiques
C09BA07: Benazepril und Diuretika; Bénazépril et diurétiques
C09BA08: Cilazapril und Diuretika; Cilazapril et diurétiques
C09BA09: Fosinopril und Diuretika; Fosinopril et diurétiques
C09BB: ACE-Hemmer und Calciumkanalblocker; Inhibiteurs de l’enzyme de conversion (IEC) et inhibiteurs calciques
C09BB02: Enalapril und Lercanidipin; Enalapril et lercanidipine
C09CA01: Losartan; Losartan
C09CA02: Eprosartan; Éprosartan
C09CA03: Valsartan; Valsartan
C09CA04: Irbesartan; Irbésartan
C09CA06: Candesartan; Candésartan
C09CA07: Telmisartan; Telmisartan
C09CA09: Azilsartan medoxomil; 
C09DA: Angiotensin-II-Antagonisten und Diuretika; Antagonistes de l’angiotensine II et diurétiques
C09DA01: Losartan und Diuretika; Losartan et diurétiques
C09DA03: Valsartan und Diuretika; Valsartan et diurétiques
C09DA04: Irbesartan und Diuretika; Irbesartan et diurétiques
C09DA06: Candesartan und Diuretika; Candesartan et diurétiques
C09DA07: Telmisartan und Diuretika; Telmisartan et diurétiques
C09DA08: Olmesartan medoxomil und Diuretika; Olmésartan médoxomil et diurétiques
C09DB: Angiotensin-II-Antagonisten und Calciumkanalblocker; Antagonistes de l’angiotensine II et inhibiteurs calciques
C09DB01: Valsartan und Amlodipin; Valsartan et amlodipine
C09DB04: Telmisartan und Amlodipin; Telmisartan et amlodipine
C09DX01: Valsartan, Amlodipin und Hydrochlorothiazid; Valsartan, amlodipine et hydrochlorothiazide
C09DX03: Olmesartan medoxomil, Amlodipin und Hydrochlorothiazid; 
C09XA02: Aliskiren; Aliskirène
C09XA52: Aliskiren und Hydrochlorothiazid; Aliskirène et hydrochlorothiazide
C09XA53: Aliskiren und Amlodipin; Aliskirène et amlodipine
C09XA54: Aliskiren, Amlodipin und Hydrochlorothiazid; Aliskirène, amlodipine et hydrochlorothiazide
C10: MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN; Médicaments modificateurs des lipides
C10AA01: Simvastatin; Simvastatine
C10AA03: Pravastatin; Pravastatine
C10AA04: Fluvastatin; Fluvastatine
C10AA05: Atorvastatin; Atorvastatine
C10AA07: Rosuvastatin; Rosuvastatine
C10AB02: Bezafibrat; Bézafibrate
C10AB04: Gemfibrozil; Gemfibrozil
C10AB05: Fenofibrat; Fénofibrate
C10AB08: Ciprofibrat; Ciprofibrate
C10AC: Gallensäure bindende Mittel; Séquestrants d’acides biliaires
C10AC01: Colestyramin; Cholestyramine
C10AC02: Colestipol; Colestipol
C10AD06: Acipimox; Acipimox
C10AD52: Nicotinsäure, Kombinationen; Acide nicotinique en association
C10AX06: Omega-3-Fettsäuren inkl. andere Ester und Säuren; Triglycérides oméga 3
C10AX09: Ezetimib; Ezétimibe
C10BA02: Simvastatin und Ezetimib; Simvastatine et ézétimibe
C10BX03: Atorvastatin und Amlodipin; Atorvastatine et amlodipine
D: DERMATIKA; Médicaments dermatologiques
D01: ANTIMYKOTIKA ZUR DERMATOLOGISCHEN ANWENDUNG; Antifongiques à usage dermatologique
D01AA01: Nystatin; Nystatine
D01AC01: Clotrimazol; Clotrimazole
D01AC02: Miconazol; Miconazole
D01AC03: Econazol; Éconazole
D01AC05: Isoconazol; Isoconazole
D01AC08: Ketoconazol; Kétoconazole
D01AC11: Oxiconazol; Oxiconazole
D01AC20: Kombinationen; Associations d’azolés à usage topique
D01AE04: Undecylensäure; Undécylénique acide
D01AE14: Ciclopirox; Ciclopiroxolamine
D01AE15: Terbinafin; Terbinafine
D01AE16: Amorolfin; Amorolfine
D01AE20: Kombinationen; Associations d’autres antifongiques à usage topique
D01BA02: Terbinafin; Terbinafine
D02: EMOLLIENTIA UND HAUTSCHUTZMITTEL; Émollients et protecteurs
D02AB: Zink-haltige Mittel; Médicaments à base de zinc
D02AC: Vaseline und Fett-haltige Mittel; Paraffine et produits gras
D02AE01: Harnstoff; Urée
D02AE51: Harnstoff, Kombinationen; Urée en association
D02AF: Salicylsäure-haltige Zubereitungen; Préparations à base d’acide salicylique
D02BB01: Betacaroten; Bétacarotène
D03: ZUBEREITUNGEN ZUR BEHANDLUNG VON WUNDEN UND GESCHWÜREN; Préparations pour le traitement des plaies et ulcères
D03AA: Lebertransalben; Préparations à base d’huile de foie de morue
D03AX: Andere Wundbehandlungsmittel; Autres cicatrisants
D03AX03: Dexpanthenol; Dexpanthénol
D03AX05: Hyaluronsäure; Hyaluronique acide
D03BA: Proteolytische Enzyme; Enzymes protéolytiques
D03BA02: Kollagenase; Clostridiopeptidase
D04: ANTIPRURIGINOSA, INKL. ANTIHISTAMINIKA, ANÄSTHETIKA ETC.; Antiprurigineux, incluant antihistaminiques,
D04AA13: Dimetinden; Dimétindène
D04AB: Lokalanästhetika; Anesthésiques à usage topique
D04AB01: Lidocain; Lidocaïne
D04AB05: Chinisocain; Quinisocaïne
D04AX: Andere Antipruriginosa; Autres antiprurigineux
D05: ANTIPSORIATIKA; Médicaments contre le psoriasis
D05AX02: Calcipotriol; Calcipotriol
D05AX03: Calcitriol; Calcitriol
D05AX04: Tacalcitol; Tacalcitol
D05AX52: Calcipotriol, Kombinationen; Calcipotriol en association
D05BB02: Acitretin; Acitrétine
D06: ANTIBIOTIKA UND CHEMOTHERAPEUTIKA ZUR DERMATOLOGISCHEN ANWENDUNG; Antibiotiques et chimiothérapie à usage dermatologique
D06AX01: Fusidinsäure; Fusidique acide
D06AX04: Neomycin; Néomycine
